frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
13,5.0,[2192.415304447057 1169.9564943132514 2809.74784705556 1772.347502928811],[2417.90625 1588.09912109375 2590.99609375 1673.6485595703125],0.6264288425445557,NO51YSU,0.05316768973840633
13,3.0,[726.2983099340166 1404.2620749032253 1420.7562088398076 2043.2459775707048],[943.4718017578125 1802.43310546875 1187.15625 1903.107421875],0.5232122540473938,NA13NRU,0.5026946152826635
14,5.0,[2193.621720002619 1176.1720776779198 2814.818235042237 1777.3519797492118],[2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375],0.6095014810562134,MV51VSU,0.176935742682751
14,3.0,[725.9480942733276 1407.0738087682303 1423.1740132607174 2052.1906607038945],[938.2769775390625 1806.96240234375 1184.478759765625 1911.066650390625],0.5639621615409851,NA13NRU,0.5168530807659136
15,3.0,[723.0792675001494 1408.5604701159084 1418.818285937074 2053.382996630088],[936.7955932617188 1821.8829345703125 1156.3184814453125 1914.3599853515625],0.5854647755622864,NA13MRU,0.21144072441731765
16,3.0,[722.4587340630419 1412.9163540689667 1419.6811900596913 2056.8652487724676],[959.2699584960938 1826.1456298828125 1167.9412841796875 1918.6951904296875],0.5466140508651733,NA13NRU,0.18441240186823166
17,3.0,[716.9063386567391 1417.3287696132402 1415.1856833869615 2062.0350729639295],[957.8289794921875 1835.7568359375 1171.025390625 1923.843017578125],0.5815415382385254,NA13NRU,0.3599270696259898
18,5.0,[2195.4810367401747 1194.7623915112606 2822.6316327794816 1793.3514908066807],[2421.121826171875 1596.1175537109375 2594.187255859375 1690.1033935546875],0.6309387683868408,ML51NSU,0.24583967352933936
19,5.0,[2195.823450343309 1195.7431420335397 2825.2583293680195 1795.107667664974],[2421.060302734375 1596.0872802734375 2594.22021484375 1690.1639404296875],0.6304642558097839,ML51NSU,0.24583967352933936
20,5.0,[2198.0921054310807 1196.8975840971318 2825.7974668634656 1798.196961653198],[2424.3701171875 1600.628173828125 2596.727294921875 1695.7078857421875],0.6303732991218567,MV51VSU,0.4518813289837802
21,5.0,[2196.5309532602882 1177.5446806354507 2821.5998263219885 1792.5383170903456],[2421.150390625 1607.1339111328125 2597.283935546875 1701.6910400390625],0.6157816648483276,ML51YSV,0.059432761158650406
24,5.0,[2194.225767652221 1198.0231758202451 2813.672634414908 1810.2383426874978],[2424.47265625 1619.255859375 2596.346435546875 1701.387451171875],0.5833206176757812,MI51VSU,0.1389308664692177
26,5.0,[2194.861525654341 1204.2625605881012 2813.155121740028 1814.7578538465077],[2425.511474609375 1626.4520263671875 2598.781494140625 1708.2489013671875],0.6131478548049927,MI51VSU,0.26763309172242133
27,5.0,[2196.8174281732577 1208.2148647456486 2813.733752129278 1816.5295733402206],[2421.14599609375 1626.3387451171875 2599.56689453125 1709.4569091796875],0.6093279123306274,MI51VSU,0.05928543328213032
27,3.0,[691.360982048062 1445.8004642662027 1404.5451084210417 2099.97639439974],[918.0625 1869.5701904296875 1154.2078857421875 1959.16259765625],0.504813551902771,NA13MRU,0.15181012581328016
29,5.0,[2200.2249911712797 1213.6012060061728 2816.7853355598645 1822.1260107030228],[2426.165283203125 1636.02099609375 2599.717041015625 1723.998779296875],0.6686508059501648,IV51VSU,0.04874615543679056
30,5.0,[2201.942955692156 1219.3558689409388 2819.8453979461738 1828.665242611979],[2426.889404296875 1637.1014404296875 2597.40576171875 1721.106201171875],0.6464851498603821,MI51WSU,0.07183108593142583
35,5.0,[2202.2840321231724 1233.5021735735045 2825.344803866513 1850.969394569494],[2432.156494140625 1649.56103515625 2613.7861328125 1741.2957763671875],0.6336584687232971,AU51VSU,0.13684564372767952
35,3.0,[674.2249518001322 1475.4229780366331 1395.8610352496253 2129.4665978922762],[912.9992065429688 1892.7828369140625 1157.5447998046875 1994.5220947265625],0.5773800611495972,NA13NRU,0.4351357202133078
36,5.0,[2201.1328181355248 1244.1468551469256 2827.309995341201 1858.4147964514814],[2433.922119140625 1658.6444091796875 2615.296142578125 1748.3712158203125],0.6252005100250244,MO35YSU,0.03316864799761213
